scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
clearance is pending while shipment waybill and/or invoice image is being generated-DHL UK-Customs clearance delay,clearance is pending while shipment waybill and/or invoice image is being generated,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Customs clearance delay,,,,,,,,Customs clearance in progress
clearance is pending while regulatory paperwork is being generated-DHL UK-Customs clearance delay,clearance is pending while regulatory paperwork is being generated,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Customs clearance delay,,,,,,,,Customs clearance in progress
clearance is pending as the shipment will be cleared by the importers designated external broker-DHL UK-Handover to broker for clearance,clearance is pending as the shipment will be cleared by the importers designated external broker,RegEx,790eb422-1fc4-4074-b2a7-e3330538c7a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Handover to broker for clearance,Handover to broker for clearance,,,,,,,,Customs clearance in progress
clearance event-DHL UK-Customs clearance in progress,clearance event,RegEx,4796f4a2-c081-41d0-82fe-d8a982078677,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance in progress,Processed for clearance,,,,,,,,Customs clearance in progress
clearance delay-DHL UK-Customs clearance delay,clearance delay,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Customs clearance delay,,,,,,,,Customs clearance delay
broker notified to arrange for clearance-DHL UK-Handover to broker for clearance,broker notified to arrange for clearance,RegEx,790eb422-1fc4-4074-b2a7-e3330538c7a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Handover to broker for clearance,Handover to broker for clearance,,,,,,,,new__Contact with sender made
based on a customer request delivery will not be attempted as planned-DHL UK-Shipment on hold,based on a customer request delivery will not be attempted as planned,RegEx,1bd2ae08-39db-4489-a573-5ba5281922a6,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment on hold,Shipment on hold after request,,,,,,,,new__New instructions received – We updated the delivery information for your package
awaiting pickup by recipient as requested-DHL UK-Receiver to pick up shipment,awaiting pickup by recipient as requested,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Receiver to pick up shipment,Shipment ready for collection from pick-up point,,,,,,,,Shipment ready for collection from pick-up point
awaiting import license to complete clearance-DHL UK-Missing import license required for clearance,awaiting import license to complete clearance,RegEx,426c3e78-0237-4191-b362-3c97c4a622e0,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Missing import license required for clearance,Missing import license required for clearance,,,,,,,,Missing export license required for clearance
awaiting export license to complete clearance-DHL UK-Missing export license required for clearance,awaiting export license to complete clearance,RegEx,0472d1dd-17cf-45a4-86f8-39c52fa8d124,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Missing export license required for clearance,Missing export license required for clearance,,,,,,,,Missing export license required for clearance
awaiting collection by recipient as requested-DHL UK-Receiver to pick up shipment,awaiting collection by recipient as requested,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Receiver to pick up shipment,Shipment ready for collection from pick-up point,,,,,,,,Shipment ready for collection from pick-up point
awaiting authorization of/or advance duty payment from customer-DHL UK-Held awaiting tax payment by the receiver,awaiting authorization of/or advance duty payment from customer,RegEx,b57205dc-a8ba-4dfe-b958-85b18d25e4bd,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,,,,,,,,Awaiting further instructions from receiver
available on payment by recipient-DHL UK-Held awaiting tax payment by the receiver,available on payment by recipient,RegEx,b57205dc-a8ba-4dfe-b958-85b18d25e4bd,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,,,,,,,,new__new__available on payment by recipient
arrived at dhl facility-DHL UK-Warehouse Scan,arrived at dhl facility,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,In Transit,,,,,,,,Arrival at delivery depot
clearance processing complete-DHL UK-Released by customs. Clearance complete.,clearance processing complete,RegEx,8a6f5bab-4a6d-46fc-8d5c-33eb00e367b1,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Released by customs. Clearance complete.,Released by customs. Clearance complete.,,,,,,,,new__new__clearance processing complete
an exception in the sorting process has occurred ups has taken corrective action-DHL UK-Carrier error delayed delivery,an exception in the sorting process has occurred ups has taken corrective action,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Shipment exception - Corrective action underway,,,,,,,,Carrier misrouted the shipment - Corrective action underway
adverse weather conditions-DHL UK-Delay due to adverse weather conditions,adverse weather conditions,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delay due to adverse weather conditions,Delay due to adverse weather conditions,,,,,,,,Delay due to adverse weather conditions
address information needed contact dhl-DHL UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,address information needed contact dhl,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,,,,,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery
a transportation accident has delayed delivery-DHL UK-Delivery delayed due to a traffic related issue,a transportation accident has delayed delivery,RegEx,d85cc369-31bf-43aa-9329-ab420060f618,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery delayed due to a traffic related issue,Delivery delayed due to a traffic related issue,,,,,,,,Transit delay
a technical issue has been encountered with the vehicle preventing an immediate delivery attempt to be made-DHL UK-Delay due to mechanical failure,a technical issue has been encountered with the vehicle preventing an immediate delivery attempt to be made,RegEx,3a2455f1-6023-4aa8-a476-4277771824fa,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delay due to mechanical failure,Delay due to mechanical failure,,,,,,,,Transit delay
a specific certificate from the shipper or importer is required to validate the duty / tax free status of a shipment-DHL UK-Additional information required for customs clearance,a specific certificate from the shipper or importer is required to validate the duty / tax free status of a shipment,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Additional information or paperwork required for customs clearance,,,,,,,,new__new__specific certificate required
a dhl representative will contact importer prior to clearance processing-DHL UK-Shipment to be held and receiver to be contacted for clearance instructions,a dhl representative will contact importer prior to clearance processing,RegEx,1341cfa6-cc11-4e8f-9bcb-5e5c26663268,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment to be held and receiver to be contacted for clearance instructions,Receiver contacted for clearance instructions,,,,,,,,new__new__contact with importer made
a delivery change request for this package will be processed-DHL UK-Request to reschedule delivery,a delivery change request for this package will be processed,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Request to reschedule delivery,Request to reschedule delivery,,,,,,,,new__New instructions received – We updated the delivery information for your package
^delivered$-DHL UK-Delivered,^delivered$,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivered,Delivered,,,,,,,,not_clear
shipment accepted-DHL UK-Shipment manifested,shipment accepted,RegEx,fab7a1ed-c7e2-42bf-852b-0c7f3d2038b3,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment manifested,Shipment collected,,,,,,,,Shipment collected
departed from dhl facility-DHL UK-In Transit,departed from dhl facility,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,,,,,,,,Departure Scan
delivery attempted-DHL UK-Delivery attempted. Receiver not available for delivery,delivery attempted,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery attempted. Receiver not available for delivery,Delivery attempted,,,,,,,,Delivery attempted. Receiver not available for delivery
address information needed-DHL UK-Address directions for delivery required,address information needed,RegEx,abcb909f-5259-4ccc-93a1-2eba844ac186,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Address directions for delivery required,Address directions for delivery required,,,,,,,,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery
at destination sort facility-DHL UK-Warehouse Scan,at destination sort facility,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,In Transit,,,,,,,,In Transit
shipment has departed from a dhl facility.*-DHL UK-In Transit,shipment has departed from a dhl facility.*,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,,,,,,,,Departure Scan
arrived at dhl delivery facility.*-DHL UK-In Transit,arrived at dhl delivery facility.*,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Arrival at delivery depot,,,,,,,,Arrival at delivery depot
arrived at dhl sort facility.*-DHL UK-In Transit,arrived at dhl sort facility.*,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,In Transit,,,,,,,,In Transit
shipment is in transit to destination-DHL UK-In Transit,shipment is in transit to destination,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,In Transit,,,,,,,,In Transit
shipment is out with courier for delivery-DHL UK-Out for delivery,shipment is out with courier for delivery,RegEx,475f6865-4882-4523-8795-9a0d4f8e1d6e,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Out for delivery,Out for delivery,,,,,,,,Out for delivery
